customer_id,churned,last_active_date
CUST_00001,0,2024-12-20
CUST_00002,0,2024-12-10
CUST_00003,0,2024-12-11
CUST_00004,0,2024-12-19
CUST_00005,1,2023-06-18
CUST_00006,1,2024-09-17
CUST_00007,1,2023-08-03
CUST_00008,0,2024-12-31
CUST_00009,0,2024-12-16
CUST_00010,0,2024-12-29
CUST_00011,0,2024-12-13
CUST_00012,0,2024-12-07
CUST_00013,1,2024-04-05
CUST_00014,0,2024-12-18
CUST_00015,0,2024-12-17
CUST_00016,0,2024-12-26
CUST_00017,0,2024-12-11
CUST_00018,1,2023-11-03
CUST_00019,0,2024-12-05
CUST_00020,0,2024-12-24
CUST_00021,1,2024-03-28
CUST_00022,0,2024-12-23
CUST_00023,1,2024-08-24
CUST_00024,0,2024-12-24
CUST_00025,0,2024-12-29
CUST_00026,0,2024-12-08
CUST_00027,1,2023-11-04
CUST_00028,0,2024-12-26
CUST_00029,0,2024-12-28
CUST_00030,1,2024-05-11
CUST_00031,0,2024-12-07
CUST_00032,0,2024-12-17
CUST_00033,0,2024-12-13
CUST_00034,1,2024-06-16
CUST_00035,1,2024-03-04
CUST_00036,1,2024-04-14
CUST_00037,0,2024-12-01
CUST_00038,1,2024-04-13
CUST_00039,0,2024-12-27
CUST_00040,0,2024-12-11
CUST_00041,1,2024-05-02
CUST_00042,0,2024-12-02
CUST_00043,0,2024-12-15
CUST_00044,1,2023-12-01
CUST_00045,1,2024-08-19
CUST_00046,0,2024-12-22
CUST_00047,0,2024-12-10
CUST_00048,0,2024-12-17
CUST_00049,1,2024-07-12
CUST_00050,0,2024-12-23
CUST_00051,0,2024-12-19
CUST_00052,0,2024-12-16
CUST_00053,0,2024-12-07
CUST_00054,0,2024-12-18
CUST_00055,0,2024-12-15
CUST_00056,1,2024-07-31
CUST_00057,0,2024-12-26
CUST_00058,1,2024-06-06
CUST_00059,0,2024-12-07
CUST_00060,0,2024-12-02
CUST_00061,0,2024-12-24
CUST_00062,0,2024-12-18
CUST_00063,1,2024-06-20
CUST_00064,0,2024-12-13
CUST_00065,0,2024-12-28
CUST_00066,0,2024-12-30
CUST_00067,1,2024-03-15
CUST_00068,0,2024-12-12
CUST_00069,1,2023-09-13
CUST_00070,1,2024-09-16
CUST_00071,0,2024-12-26
CUST_00072,0,2024-12-21
CUST_00073,0,2024-12-16
CUST_00074,0,2024-12-16
CUST_00075,0,2024-12-28
CUST_00076,0,2024-12-31
CUST_00077,1,2024-03-26
CUST_00078,1,2024-01-19
CUST_00079,1,2023-07-07
CUST_00080,0,2024-12-16
CUST_00081,0,2024-12-31
CUST_00082,0,2024-12-10
CUST_00083,0,2024-12-17
CUST_00084,0,2024-12-02
CUST_00085,0,2024-12-07
CUST_00086,1,2024-07-27
CUST_00087,0,2024-12-08
CUST_00088,1,2024-05-17
CUST_00089,0,2024-12-28
CUST_00090,0,2024-12-09
CUST_00091,0,2024-12-21
CUST_00092,0,2024-12-25
CUST_00093,0,2024-12-31
CUST_00094,0,2024-12-16
CUST_00095,0,2024-12-11
CUST_00096,0,2024-12-19
CUST_00097,1,2024-09-09
CUST_00098,0,2024-12-24
CUST_00099,1,2024-09-14
CUST_00100,1,2023-07-23
CUST_00101,0,2024-12-09
CUST_00102,1,2024-07-27
CUST_00103,0,2024-12-31
CUST_00104,0,2024-12-16
CUST_00105,1,2023-11-25
CUST_00106,0,2024-12-17
CUST_00107,0,2024-12-17
CUST_00108,0,2024-12-28
CUST_00109,0,2024-12-12
CUST_00110,0,2024-12-01
CUST_00111,0,2024-12-16
CUST_00112,0,2024-12-03
CUST_00113,1,2023-09-07
CUST_00114,0,2024-12-19
CUST_00115,0,2024-12-05
CUST_00116,1,2023-11-10
CUST_00117,0,2024-12-11
CUST_00118,1,2024-01-15
CUST_00119,1,2024-07-23
CUST_00120,0,2024-12-21
CUST_00121,0,2024-12-23
CUST_00122,0,2024-12-14
CUST_00123,0,2024-12-13
CUST_00124,0,2024-12-17
CUST_00125,0,2024-12-20
CUST_00126,1,2024-03-06
CUST_00127,0,2024-12-23
CUST_00128,0,2024-12-15
CUST_00129,0,2024-12-25
CUST_00130,0,2024-12-19
CUST_00131,0,2024-12-15
CUST_00132,0,2024-12-08
CUST_00133,0,2024-12-09
CUST_00134,0,2024-12-07
CUST_00135,0,2024-12-24
CUST_00136,0,2024-12-06
CUST_00137,1,2023-06-21
CUST_00138,0,2024-12-21
CUST_00139,1,2024-09-24
CUST_00140,0,2024-12-06
CUST_00141,0,2024-12-20
CUST_00142,1,2024-07-31
CUST_00143,0,2024-12-03
CUST_00144,1,2024-05-25
CUST_00145,0,2024-12-03
CUST_00146,0,2024-12-30
CUST_00147,0,2024-12-10
CUST_00148,0,2024-12-22
CUST_00149,0,2024-12-18
CUST_00150,1,2024-05-11
CUST_00151,0,2024-12-16
CUST_00152,0,2024-12-01
CUST_00153,0,2024-12-24
CUST_00154,1,2024-07-29
CUST_00155,0,2024-12-15
